Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2093,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.905651518287993,2.769757473235772,3.0415455633402138
2094,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.967327817509034,2.8303408750433876,3.10431475997468
2095,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.0290041167300745,2.8909329273692324,3.1670753060909167
2096,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.090680415951115,2.9515334279961154,3.229827403906115
2097,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.152356715172156,3.0121421824646646,3.292571247879647
2098,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.2140330143931966,3.072759003662944,3.355307025123449
2099,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.2757093136142372,3.133383711443571,3.4180349157849035
2100,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,3.337385612835278,3.1940161322661065,3.4807550934044493
2026,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2027,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2028,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2029,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2030,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2031,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2032,East Asia & Pacific,0.0,0.0,0.0,0.0,0.0,0.0
2033,East Asia & Pacific,0.0009149847961574716,-0.001640789848476553,0.003470759440791496,0.0009149847961574716,-0.001640789848476553,0.003470759440791496
2034,East Asia & Pacific,0.006333724384763877,-0.009236979150326773,0.02190442791985453,0.007248709180921349,-0.008530352661020923,0.023027771022863623
2035,East Asia & Pacific,0.012328739060178479,-0.017849491510272614,0.04250696963062957,0.01957744824109983,-0.014476984553694271,0.053631881035893926
2036,East Asia & Pacific,0.020373709957056705,-0.021354221325364495,0.0621016412394779,0.03995115819815653,-0.01390907427521488,0.09381139067152795
2037,East Asia & Pacific,0.032135828948206296,-0.01859983772959028,0.08287149562600288,0.07208698714636284,-0.0019064755062667578,0.14608044979899246
2038,East Asia & Pacific,0.04677819583052158,-0.01292154629994347,0.10647793796098662,0.11886518297688442,0.02379104492783287,0.213939321025936
2039,East Asia & Pacific,0.060962045474457445,-0.005174525874832645,0.12709861682374754,0.17982722845134186,0.06401212669164107,0.29564233021104264
2040,East Asia & Pacific,0.07409570151057045,0.00598940666182293,0.14220199635931796,0.25392292996191235,0.11956666775715172,0.38827919216667295
2041,East Asia & Pacific,0.08740895224971562,0.018544652508782164,0.1562732519906491,0.34133188221162797,0.19035540400245954,0.4923083604207964
2042,East Asia & Pacific,0.10073386110450278,0.034987327753881865,0.1664803944551237,0.44206574331613074,0.27739484843768597,0.6067366381945756
2043,East Asia & Pacific,0.11286558017572704,0.051213412078574834,0.17451774827287925,0.5549313234918578,0.3790976138365493,0.7307650331471662
2044,East Asia & Pacific,0.12325942625527993,0.06315557070173194,0.1833632818088279,0.6781907497471377,0.4923683428540262,0.8640131566402491
2045,East Asia & Pacific,0.13197260588690773,0.07317785798841689,0.19076735378539855,0.8101633556340454,0.6152613564549806,1.00506535481311
2046,East Asia & Pacific,0.14405960552900968,0.08449950172235994,0.20361970933565937,0.954222961163055,0.7504235616314199,1.1580223606946902
2047,East Asia & Pacific,0.1507106448462674,0.0903826511699944,0.2110386385225404,1.1049336060093224,0.892392640380436,1.3174745716382088
2048,East Asia & Pacific,0.15664821304675663,0.09550094159006402,0.21779548450344924,1.2615818190560788,1.040419772409151,1.482743865703007
2049,East Asia & Pacific,0.16219871745216052,0.09975188613118803,0.22464554877313303,1.4237805365082394,1.1939713599745598,1.6535897130419193
2050,East Asia & Pacific,0.16767787675088353,0.10307671326989212,0.2322790402318749,1.5914584132591232,1.352741912065373,1.8301749144528732
2051,East Asia & Pacific,0.17277385994162073,0.10637494172053379,0.23917277816270768,1.7642322732007438,1.5164533711870407,2.012011175214447
2052,East Asia & Pacific,0.17769878690497418,0.10961547702745306,0.24578209678249527,1.941931060105718,1.6849685699111474,2.1988935503002893
2053,East Asia & Pacific,0.18278829663219992,0.11258775142929749,0.25298884183510234,2.124719356737918,1.8583402323422935,2.3910984811335427
2054,East Asia & Pacific,0.18770294665477114,0.1161733880784235,0.2592325052311188,2.3124223033926894,2.0366065756614615,2.5882380311239173
2055,East Asia & Pacific,0.19236652841422372,0.12042468791952163,0.26430836890892584,2.5047888318069127,2.2197450736263975,2.7898325899874283
2056,East Asia & Pacific,0.20292665548919786,0.12307235700559527,0.28278095397280045,2.7077154872961104,2.411697492802566,3.0037334817896553
2057,East Asia & Pacific,0.20692443156835078,0.12779237413213182,0.2860564890045697,2.9146399188644616,2.6082275568780866,3.221052280850836
2058,East Asia & Pacific,0.21064732938943767,0.13249947809873586,0.2887951806801395,3.125287248253899,2.8090664041600557,3.4415080923477426
2059,East Asia & Pacific,0.2142416261035312,0.13690916800192776,0.29157408420513464,3.3395288743574305,3.0139894277223735,3.6650683209924875
2060,East Asia & Pacific,0.21737111330053235,0.1412033189344213,0.29353890766664337,3.556899987657963,3.2225686187826246,3.891231356533301
2061,East Asia & Pacific,0.2199604265252615,0.14537238965672927,0.2945484633937937,3.7768604141832243,3.4343099223459492,4.119410906020499
2062,East Asia & Pacific,0.22233817324826416,0.14915117660677213,0.2955251698897562,3.9991985874314886,3.648917020780657,4.349480154082319
2063,East Asia & Pacific,0.22437447985846615,0.15255315962806745,0.2961958000888648,4.223573067289955,3.8660042236038774,4.581141910976031
2064,East Asia & Pacific,0.22605809030874185,0.15551785981149974,0.29659832080598403,4.449631157598697,4.085170731635051,4.814091583562343
2065,East Asia & Pacific,0.2274868778068623,0.15792672989311565,0.2970470257206089,4.677118035405559,4.306078931979269,5.048157138831848
2066,East Asia & Pacific,0.2287064827434117,0.15982993088605346,0.29758303460077,4.905824518148971,4.528446729100458,5.283202307197483
